Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
TG,Tredegar Corporation,16.99,$562.61M,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/tg
THS,"Treehouse Foods, Inc.",37.68,$2.13B,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/ths
TREX,"Trex Company, Inc.",106.06,$3.12B,n/a,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/trex
TY,Tri Continental Corporation,25.74,$1.44B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ty
TY^,Tri Continental Corporation,51.58,n/a,n/a,Consumer Services,Miscellaneous,https://www.nasdaq.com/symbol/ty^
TPH,"TRI Pointe Group, Inc.",15.74,$2.38B,2013,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/tph
TCAP,Triangle Capital Corporation,11.05,$530.67M,2007,n/a,n/a,https://www.nasdaq.com/symbol/tcap
TCCA,Triangle Capital Corporation,25.06,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tcca
TCCB,Triangle Capital Corporation,25.1191,n/a,2015,n/a,n/a,https://www.nasdaq.com/symbol/tccb
TRCO,Tribune Media Company,40.12,$3.51B,2014,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/trco
TNET,"TriNet Group, Inc.",45.02,$3.15B,2014,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/tnet
TRN,"Trinity Industries, Inc.",31.68,$4.78B,n/a,Capital Goods,Railroads,https://www.nasdaq.com/symbol/trn
TSE,Trinseo S.A.,72.75,$3.15B,2014,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/tse
TPVG,TriplePoint Venture Growth BDC Corp.,11.85,$210.1M,2014,n/a,n/a,https://www.nasdaq.com/symbol/tpvg
TPVY,TriplePoint Venture Growth BDC Corp.,25.13,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/tpvy
GTS,Triple-S Management Corporation,25.83,$608.67M,2007,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/gts
TRTN,Triton International Limited,29.23,$2.36B,2016,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/trtn
TGI,"Triumph Group, Inc.",25.15,$1.25B,1996,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/tgi
TROX,Tronox Limited,17.84,$2.17B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/trox
TBI,"TrueBlue, Inc.",25.95,$1.06B,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/tbi
TNP,Tsakos Energy Navigation Ltd,3.29,$279.28M,2002,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/tnp
TNP^B,Tsakos Energy Navigation Ltd,25.2853,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tnp^b
TNP^C,Tsakos Energy Navigation Ltd,25.54,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tnp^c
TNP^D,Tsakos Energy Navigation Ltd,24.92,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tnp^d
TNP^E,Tsakos Energy Navigation Ltd,25.05,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tnp^e
TUP,Tupperware Brands Corporation,46.92,$2.4B,n/a,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/tup
TKC,Turkcell Iletisim Hizmetleri AS,9.41,$8.28B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tkc
TPB,"Turning Point Brands, Inc.",19.26,$370.23M,2016,Consumer Non-Durables,Tobacco,https://www.nasdaq.com/symbol/tpb
TRQ,Turquoise Hill Resources Ltd.,2.99,$6.02B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/trq
TPC,Tutor Perini Corporation,21.75,$1.08B,n/a,Basic Industries,General Bldg Contractors - Nonresidential Bldgs,https://www.nasdaq.com/symbol/tpc
TWLO,Twilio Inc.,36.65,$3.45B,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twlo
